id,x,y,theta
0,-6.78211e-11,5.43937e-11,-4.14711e-10
1,-1.35694e-10,5.59574e-11,-0.000642
2,-2.03594e-10,5.75552e-11,-0.00118
3,0.0110019,-0.000974983,-0.003562
4,0.641008,-0.0112001,-0.007444
5,0.696016,-0.0117156,-0.098726
6,0.700269,-0.0154349,-0.895998
7,0.693956,0.00421355,-1.51154
8,0.699263,0.0266943,-2.12507
9,0.716115,0.0411233,-2.76314
10,0.728981,0.0432207,2.90552
11,0.733204,0.0405377,2.23124
12,0.733186,0.0415461,1.58176
13,0.738753,0.0590712,0.922264
14,0.759658,0.0737514,0.314025
15,0.768572,0.0743584,-0.210903
16,1.06249,0.0141529,-0.229595
17,1.66365,-0.133114,-0.260823
18,2.287,-0.296479,-0.271
19,2.9143,-0.494253,-0.319576
20,3.5085,-0.685242,-0.313851
21,4.12016,-0.839677,-0.202371
22,4.73229,-0.982915,-0.18506
23,5.36998,-1.02798,-0.0775699
24,5.99909,-1.09972,-0.134549
25,6.63124,-1.16785,-0.13168
26,7.24,-1.26863,-0.172351
27,7.85567,-1.3603,-0.15665
28,8.43735,-1.4593,-0.161223
29,8.81666,-1.51696,-0.130585
30,8.82198,-1.51419,-0.663002
31,8.92341,-1.65057,-0.93156
32,9.29128,-2.16652,-0.950224
33,9.6748,-2.67535,-0.898213
34,10.087,-3.16588,-0.87607
35,10.5109,-3.64935,-0.840712
36,10.9412,-4.13273,-0.84828
37,11.2248,-4.44694,-0.839605
38,11.2211,-4.42513,-1.15953
39,11.2187,-4.41689,-1.32907
40,11.3672,-4.98724,-1.31073
41,11.5227,-5.58024,-1.34162
42,11.6509,-6.13754,-1.36324
43,11.7644,-6.72655,-1.40228
44,11.8623,-7.31444,-1.43809
45,11.9265,-7.93103,-1.49396
46,11.9662,-8.55025,-1.51367
47,11.9955,-9.16938,-1.55568
48,12.0003,-9.79348,-1.56253
49,12.0022,-10.4135,-1.61369
50,11.9566,-11.0019,-1.6585
51,11.9096,-11.5963,-1.68783
52,11.8207,-12.1783,-1.76481
53,11.7276,-12.7364,-1.75268
54,11.6218,-13.2478,-1.81499
55,11.6301,-13.2131,-1.80991
56,11.6288,-13.2171,-1.79953
57,11.492,-13.8361,-1.81111
58,11.3502,-14.447,-1.76505
59,11.2277,-15.0537,-1.78877
60,11.1035,-15.6583,-1.7675
61,10.9751,-16.2609,-1.81833
62,10.8313,-16.8135,-1.77867
63,10.6845,-17.3815,-1.81433
64,10.5549,-17.9338,-1.75114
65,10.4245,-18.4998,-1.80279
66,10.2754,-19.0936,-1.81108
67,10.1153,-19.6866,-1.80998
68,10.01,-20.134,-1.82576
69,10.0162,-20.1231,-1.98072
70,10.0242,-20.1206,-2.65517
71,10.042,-20.121,2.9853
72,10.0539,-20.1225,2.97585
73,10.0608,-20.1241,2.91094
74,10.0568,-20.1184,2.28911
75,10.0644,-20.109,1.93678
76,10.0583,-20.0975,2.63062
77,10.0556,-20.0951,2.86361
78,9.77393,-20.1079,-3.08242
79,9.15548,-20.1519,-3.08765
80,8.52268,-20.1559,3.12104
81,7.89762,-20.1345,3.09507
82,7.32006,-20.1028,3.03953
83,6.75421,-20.0602,3.01472
84,6.21358,-19.9842,2.93583
85,5.67622,-19.8813,2.94248
86,5.07779,-19.7688,2.85322
87,4.62179,-19.633,2.80586
88,4.26452,-19.5042,2.77601
89,4.27653,-19.5019,-3.11099
90,3.66288,-19.513,3.14103
91,3.04635,-19.5142,-3.09327
92,2.43197,-19.5179,3.07389
93,1.80663,-19.4214,2.97255
94,1.18417,-19.289,2.92924
95,0.568095,-19.2035,3.07139
96,-0.039827,-19.1549,3.09517
97,-0.636739,-19.0943,3.02428
98,-1.23351,-18.9947,2.96611
99,-1.93898,-18.8728,3.01275
100,-2.51051,-18.7662,2.96086
101,-3.12594,-18.7121,3.06382
102,-3.75182,-18.6337,2.95851
103,-4.35369,-18.5195,3.05487
104,-4.96941,-18.4461,3.02107
105,-5.58119,-18.3839,3.06753
106,-6.18783,-18.3163,3.01248
107,-6.80634,-18.2224,3.00836
108,-7.27034,-18.1767,3.07014
109,-7.3089,-18.1627,2.62199
110,-7.32375,-18.1553,2.0311
111,-7.3263,-18.0749,1.52565
112,-7.30645,-17.4374,1.58027
113,-7.32944,-16.8121,1.62747
114,-7.36718,-16.1947,1.6644
115,-7.44463,-15.5581,1.72463
116,-7.56819,-14.8116,1.76867
117,-7.70596,-14.2083,1.86413
118,-7.70486,-14.1628,1.52912
119,-7.65321,-13.6445,1.4758
120,-7.60688,-12.9939,1.5659
121,-7.62284,-12.3782,1.63339
122,-7.66081,-11.797,1.69036
123,-7.68956,-11.612,1.67831
124,-7.6054,-11.3702,1.25547
125,-7.3945,-10.7725,1.24528
126,-7.26924,-10.1574,1.45233
127,-7.17873,-9.51839,1.45162
128,-7.11135,-8.87631,1.48902
129,-7.03323,-8.23423,1.45739
130,-6.97542,-7.59998,1.51112
131,-6.93828,-6.98416,1.60067
132,-6.9321,-6.35707,1.552
133,-6.89422,-5.78961,1.51576
134,-6.84993,-5.18898,1.49816
135,-6.77829,-4.61301,1.47259
136,-6.71597,-3.97898,1.49274
137,-6.63162,-3.34273,1.45107
138,-6.56979,-2.72106,1.53066
139,-6.56669,-2.09203,1.59491
140,-6.60805,-1.43957,1.62449
141,-6.6262,-0.801374,1.57512
142,-6.63826,-0.153309,1.57045
143,-6.56832,0.486551,1.45891
144,-6.53483,0.858404,1.47564
145,-6.52516,0.877562,0.975475
146,-6.52109,0.880896,0.38025
147,-6.4517,0.876386,-0.108015
148,-6.00566,0.819655,-0.144513
149,-5.35018,0.73148,-0.120241
150,-4.70168,0.672246,-0.106899
151,-4.04746,0.630704,-0.022169
