id,x,y,theta
0,3.58603e-13,6.60184e-13,1.13893e-12
1,7.16794e-13,6.783e-13,-0.000642
2,1.07464e-12,6.96228e-13,-0.00118
3,0.0110019,-0.000974983,-0.003562
4,0.641008,-0.0112001,-0.007444
5,0.696016,-0.0117156,-0.098726
6,0.700269,-0.0154349,-0.895998
7,0.693956,0.00421355,-1.51153
8,0.699263,0.0266943,-2.12507
9,0.716115,0.0411233,-2.76314
10,0.728981,0.0432207,2.90552
11,0.733204,0.0405377,2.23124
12,0.733186,0.0415461,1.58176
13,0.738753,0.0590712,0.922264
14,0.759658,0.0737514,0.314025
15,0.768572,0.0743584,-0.210903
16,1.06249,0.0141529,-0.229595
17,1.66365,-0.133114,-0.260823
18,2.287,-0.296479,-0.271
19,2.9143,-0.494253,-0.319576
20,3.50785,-0.685104,-0.313854
21,4.11903,-0.839475,-0.202379
22,4.73095,-0.982714,-0.185071
23,5.36865,-1.02773,-0.0775835
24,5.99813,-1.09953,-0.134565
25,6.63093,-1.16774,-0.131697
26,7.23999,-1.26849,-0.172369
27,7.85595,-1.36013,-0.156669
28,8.4375,-1.46021,-0.161244
29,8.81665,-1.51794,-0.130611
30,8.82184,-1.51474,-0.66303
31,8.92311,-1.65096,-0.931586
32,9.29082,-2.16675,-0.950249
33,9.67449,-2.67581,-0.898246
34,10.0867,-3.1663,-0.876107
35,10.5108,-3.64993,-0.840745
36,10.9413,-4.13354,-0.848303
37,11.2248,-4.44786,-0.839627
38,11.2211,-4.42603,-1.15957
39,11.2187,-4.41795,-1.32912
40,11.3672,-4.98829,-1.31079
41,11.5226,-5.58135,-1.34168
42,11.6508,-6.13874,-1.36331
43,11.7642,-6.72775,-1.40236
44,11.862,-7.3157,-1.43816
45,11.9262,-7.93232,-1.49403
46,11.9659,-8.55157,-1.51374
47,11.995,-9.17073,-1.55575
48,11.9998,-9.79486,-1.5626
49,12.0014,-10.415,-1.61376
50,11.9558,-11.0035,-1.65858
51,11.9088,-11.5979,-1.68791
52,11.8198,-12.1799,-1.7649
53,11.7267,-12.7381,-1.75277
54,11.6208,-13.2495,-1.81509
55,11.6291,-13.2149,-1.81001
56,11.6278,-13.2189,-1.79965
57,11.4909,-13.8379,-1.81123
58,11.3492,-14.4488,-1.76517
59,11.2266,-15.0555,-1.78889
60,11.1024,-15.6602,-1.76761
61,10.974,-16.2626,-1.81843
62,10.8301,-16.8153,-1.77876
63,10.6833,-17.3834,-1.81442
64,10.5536,-17.9357,-1.75123
65,10.4231,-18.5016,-1.80287
66,10.274,-19.0955,-1.81116
67,10.1138,-19.6886,-1.81006
68,10.0085,-20.136,-1.82584
69,10.0147,-20.1252,-1.9808
70,10.0227,-20.1226,-2.65525
71,10.0405,-20.1231,2.98523
72,10.0524,-20.1245,2.97577
73,10.0592,-20.1261,2.91086
74,10.0553,-20.1204,2.28904
75,10.0629,-20.111,1.93672
76,10.0568,-20.0996,2.63056
77,10.0541,-20.0972,2.86355
78,9.77236,-20.11,-3.08248
79,9.15391,-20.1539,-3.08772
80,8.5211,-20.1579,3.12098
81,7.89603,-20.1364,3.09501
82,7.3184,-20.1047,3.03947
83,6.75251,-20.0621,3.01466
84,6.21187,-19.986,2.93577
85,5.67453,-19.8832,2.94242
86,5.07615,-19.7707,2.85317
87,4.62023,-19.6349,2.80581
88,4.26287,-19.5061,2.77597
89,4.27465,-19.5037,-3.11103
90,3.6609,-19.5146,3.14099
91,3.04459,-19.5158,-3.09331
92,2.43048,-19.5194,3.07386
93,1.80529,-19.4233,2.97251
94,1.18266,-19.2908,2.92919
95,0.566049,-19.2053,3.07134
96,-0.0421775,-19.1563,3.09512
97,-0.638945,-19.0957,3.02423
98,-1.23556,-18.9961,2.96606
99,-1.94089,-18.8742,3.0127
100,-2.51228,-18.7676,2.96081
101,-3.1276,-18.7136,3.06376
102,-3.75346,-18.6351,2.95846
103,-4.35532,-18.5209,3.05481
104,-4.97102,-18.4474,3.02101
105,-5.5828,-18.3852,3.06747
106,-6.18944,-18.3175,3.01242
107,-6.80795,-18.2237,3.0083
108,-7.27195,-18.1779,3.07007
109,-7.31051,-18.164,2.62192
110,-7.32536,-18.1565,2.03103
111,-7.32791,-18.0762,1.52557
112,-7.30801,-17.4386,1.58019
113,-7.33096,-16.8134,1.62739
114,-7.36865,-16.196,1.66433
115,-7.44604,-15.5594,1.72453
116,-7.56928,-14.8131,1.76857
117,-7.70637,-14.2095,1.86405
118,-7.70531,-14.1646,1.52906
119,-7.65461,-13.6464,1.47574
120,-7.60823,-12.9957,1.56583
121,-7.62415,-12.3799,1.6333
122,-7.66206,-11.7988,1.69027
123,-7.6908,-11.6138,1.67821
124,-7.60662,-11.372,1.25538
125,-7.39568,-10.7744,1.24518
126,-7.27036,-10.1593,1.45223
127,-7.17979,-9.52033,1.45152
128,-7.11237,-8.8783,1.48892
129,-7.03419,-8.23628,1.45729
130,-6.97633,-7.60208,1.51102
131,-6.93913,-6.98632,1.60056
132,-6.93289,-6.35927,1.55188
133,-6.89492,-5.79168,1.51559
134,-6.85049,-5.19098,1.49796
135,-6.7787,-4.61496,1.47238
136,-6.71623,-3.98084,1.49254
137,-6.63174,-3.34452,1.4509
138,-6.56979,-2.72263,1.53054
139,-6.56658,-2.09351,1.5948
140,-6.60923,-1.44102,1.62439
141,-6.62731,-0.802383,1.57502
142,-6.6393,-0.153896,1.57036
143,-6.56928,0.486034,1.45883
144,-6.53573,0.858094,1.47557
145,-6.52598,0.877352,0.975425
146,-6.52188,0.880761,0.380222
147,-6.45247,0.876226,-0.108023
148,-6.00637,0.81948,-0.144511
149,-5.35083,0.73133,-0.120233
150,-4.70225,0.672121,-0.106885
151,-4.04793,0.630617,-0.0221479
152,-3.42082,0.601755,-0.0832385
153,-2.79622,0.574153,0.00989701
154,-2.17288,0.559413,-0.0599563
155,-1.54734,0.531309,-0.0267447
156,-0.919362,0.522224,0.00374687
157,-0.353154,0.509839,-0.0610467
158,-0.174227,0.498317,-0.0446539
159,-0.179615,0.500207,0.901122
160,-0.17963,0.50575,1.8932
161,-0.181894,0.498281,2.82804
162,-0.169742,0.499548,-2.46295
163,-0.170033,0.492527,-1.50783
164,-0.203464,0.536358,-0.518533
165,-0.0409195,0.514818,-0.0853625
166,0.644658,0.471339,-0.0711787
167,1.26445,0.422834,-0.0999889
168,1.85563,0.375253,-0.0876244
169,2.45171,0.30592,-0.124354
170,3.03923,0.240175,-0.144976
171,3.59853,0.14436,-0.183431
172,4.22186,0.0395888,-0.169705
173,4.84859,-0.081618,-0.192525
174,5.47115,-0.196506,-0.152363
175,6.08535,-0.287105,-0.177038
176,6.68213,-0.40783,-0.167393
177,7.30345,-0.510954,-0.194993
178,7.92273,-0.657147,-0.233931
179,8.3357,-0.741337,-0.180782
180,8.35276,-0.729668,-0.62309
181,8.80175,-1.05582,-0.674978
182,9.21287,-1.41601,-0.8491
183,9.57225,-1.85471,-0.906462
184,9.90705,-2.36212,-1.04872
185,10.1913,-2.8949,-1.1373
186,10.414,-3.46489,-1.19977
187,10.6145,-4.01318,-1.21869
188,10.824,-4.58014,-1.2204
189,11.0286,-5.15081,-1.24317
190,11.2232,-5.75142,-1.2732
191,11.4066,-6.35012,-1.29844
192,11.5705,-6.94438,-1.32786
193,11.7023,-7.48702,-1.38458
194,11.8103,-8.05564,-1.41215
195,11.8982,-8.622,-1.44141
196,11.9728,-9.24327,-1.4825
197,12.0185,-9.86302,-1.51026
198,12.052,-10.4776,-1.56871
199,12.0316,-11.0858,-1.63039
200,11.9916,-11.6903,-1.65248
201,11.9284,-12.2911,-1.70933
202,11.8699,-12.8028,-1.68955
203,11.7786,-13.5397,-1.74275
204,11.6665,-14.1086,-1.8451
205,11.5032,-14.6706,-1.8548
206,11.3555,-15.2159,-1.85311
207,11.2014,-15.7825,-1.83731
208,11.0337,-16.3818,-1.84681
209,10.8764,-16.9844,-1.80855
210,10.7187,-17.5792,-1.81742
211,10.5756,-18.1775,-1.81515
212,10.4049,-18.7658,-1.86802
213,10.2155,-19.358,-1.8888
214,10.0209,-19.9366,-1.8926
215,9.90944,-20.2606,-1.9284
216,9.925,-20.2497,-2.4275
217,9.94917,-20.2457,-2.97014
218,9.96465,-20.2394,-3.02614
219,9.39714,-20.2002,3.0885
220,8.78606,-20.1618,3.04863
221,8.14742,-20.0997,3.09907
222,7.50915,-20.0608,3.07355
223,6.88793,-20.0346,-3.11319
224,6.26263,-20.0403,-3.1388
225,5.64695,-20.0384,-3.08885
226,5.02127,-20.037,-3.13763
227,4.36325,-20.1145,-2.98161
228,3.89547,-20.1277,2.93987
229,3.38355,-20.0679,3.06152
230,3.11657,-20.0592,3.03277
231,3.31836,-20.0724,3.10262
232,3.00038,-19.9342,2.67675
233,2.43213,-19.675,2.77858
234,1.85084,-19.4521,2.73398
235,1.59736,-19.3453,2.72858
236,1.26494,-19.3491,3.13436
237,0.642155,-19.367,-3.07873
238,0.0279475,-19.4204,-3.11175
239,-0.584542,-19.4223,3.10361
240,-1.15678,-19.3089,2.88562
241,-1.69663,-19.179,2.97101
242,-2.27183,-19.1147,3.0087
243,-2.87942,-19.0306,3.00729
244,-3.50733,-18.9856,3.07852
245,-4.11148,-18.9407,3.02474
246,-4.70215,-18.8609,2.95302
247,-5.32157,-18.7795,3.05986
248,-5.87329,-18.7617,3.09206
249,-5.82873,-18.7671,-2.99749
250,-5.82418,-18.7757,2.69663
251,-6.15375,-18.4343,2.27304
252,-6.51385,-18.0141,2.28238
253,-6.89072,-17.5686,2.27224
254,-7.26201,-17.1111,2.23193
255,-7.31332,-17.0497,2.31673
256,-7.3314,-16.963,1.8363
257,-7.40248,-16.4558,1.71614
258,-7.48667,-15.8949,1.78778
259,-7.6338,-15.2977,1.82801
260,-7.77105,-14.744,1.81938
261,-7.76878,-14.6996,1.50752
262,-7.71026,-14.0425,1.51409
263,-7.67147,-13.4192,1.52757
264,-7.66172,-12.8152,1.62476
265,-7.69809,-12.2105,1.64514
266,-7.65454,-11.6262,1.51633
267,-7.61018,-10.8778,1.48722
268,-7.4824,-10.2688,1.3772
269,-7.36759,-9.65024,1.40772
270,-7.30122,-9.02096,1.52241
271,-7.21294,-8.39659,1.41273
272,-7.13421,-7.7654,1.47896
273,-7.14936,-7.14365,1.69175
274,-7.2248,-6.52945,1.71632
275,-7.22091,-5.91427,1.54563
276,-7.22109,-5.31507,1.6609
277,-7.27738,-4.7449,1.63606
278,-7.24431,-4.10346,1.54815
279,-7.21424,-3.46529,1.49221
280,-7.15533,-2.83318,1.49387
281,-7.07287,-2.19357,1.39312
282,-6.96147,-1.56346,1.43286
283,-6.88394,-0.925191,1.42507
284,-6.78024,-0.298693,1.45244
285,-6.72341,0.347887,1.4726
286,-6.66625,0.967122,1.52528
287,-6.66397,1.01292,1.41983
288,-6.65975,1.02198,0.808352
289,-6.64543,1.03173,0.212079
290,-6.18542,1.02577,-0.0143233
291,-5.54366,1.02098,-0.00133338
292,-4.92497,1.00425,-0.0560449
293,-4.29852,0.961629,-0.0791655
294,-3.67611,0.911773,-0.0785373
295,-3.05021,0.833818,-0.191095
296,-2.43145,0.691117,-0.236555
297,-1.81486,0.541421,-0.24831
298,-1.20404,0.39076,-0.249068
299,-0.630177,0.236116,-0.188077
300,-0.0412245,0.152982,-0.146177
301,0.522247,0.056287,-0.205731
302,0.823875,-0.00733705,-0.227054
303,0.805533,-0.00301051,-0.223329
304,1.30563,-0.117159,-0.214275
305,1.92565,-0.160926,-0.0311458
306,2.55533,-0.171574,-0.0497387
307,3.19472,-0.219971,-0.0869762
308,3.82289,-0.283582,-0.14311
309,4.45748,-0.344986,-0.0507618
310,5.08554,-0.3762,-0.0871734
311,5.36559,-0.404793,0.0872482
312,5.3678,-0.407788,1.07482
313,5.37301,-0.191879,1.56984
314,5.35514,0.433563,1.60916
315,5.32845,1.05825,1.60439
316,5.29188,1.70194,1.65416
317,5.23444,2.34213,1.66262
318,5.14052,2.97697,1.75547
319,5.06448,3.32122,1.82523
320,5.06773,3.33014,2.78845
321,5.06695,3.33273,-2.46069
322,5.06646,3.32987,-1.4699
323,5.08639,3.31335,-0.482884
324,5.10174,3.31159,0.173106
325,5.11096,3.31103,-0.357767
326,5.13179,3.29487,-0.956465
327,5.13601,3.27713,-1.58345
328,5.09353,2.64073,-1.63154
329,5.04752,2.00777,-1.6974
330,4.96309,1.39218,-1.72685
331,4.87251,0.777143,-1.75164
332,4.752,0.169315,-1.78089
333,4.71641,0.0139414,-1.72759
334,4.73789,0.0260576,-0.714357
335,4.80437,0.0313864,0.240981
336,4.83658,0.0428685,1.14822
337,4.85652,0.0540784,2.09191
338,4.86143,0.0544973,3.0753
339,4.87201,0.0686041,-2.16467
340,4.87033,0.0648369,-1.15128
341,4.98535,-0.0037428,-0.521683
342,5.56084,-0.30869,-0.421447
343,6.13763,-0.510562,-0.289838
344,6.72572,-0.693605,-0.299245
345,6.96371,-0.762906,-0.326081
346,6.95843,-0.762901,-0.971699
347,6.96083,-0.850736,-1.52889
348,6.97861,-1.44118,-1.54498
349,6.97623,-2.06065,-1.58458
350,6.9629,-2.84893,-1.6036
351,6.94857,-3.1228,-1.63195
352,6.94453,-3.13362,-1.91877
353,6.92703,-3.14507,-2.58172
354,6.91349,-3.14291,3.10036
355,6.90247,-3.14266,2.38201
356,6.89822,-3.13677,1.80896
357,6.89675,-3.12386,1.15832
358,6.89093,-3.11828,0.54519
359,6.88034,-3.11499,-0.066525
360,6.86499,-3.11104,-0.241599
361,6.86369,-3.11597,0.681044
362,6.94865,-2.88483,1.21682
363,7.05137,-2.61632,1.2112
